Firm,exchange,industry,year,asset_turnover,roa,roe,current_ratio,interest_cover,debt_to_equity_perc,debt-to_asset_perc,emission_trading,esg_combined,Environmental,Social,Governance,debt_to_asset_perc,Scope_1_and_2,co2_emission,size,ln_revenue,ln_debt,ln_equity,z_score,ln_co2_revenue,emission
SGH.AX,AX,Wholesale Trade,2011,2.46688327,33.0597707,83.67273785,1.55209,3.39312,33.8659,18.82996,FALSE,13.79665986,0,16.23232727,27.15922108,18.82996,,79340.2,22.296759,21.88590714,20.62703794,21.46813554,2.45355606,-10.60440693,0.02480645
SGH.AX,AX,Wholesale Trade,2012,0.84859829,2.5037344,5.04870533,1.9661,3.04652,71.572,31.90827,FALSE,13.73671576,0,17.70615906,25.01639344,31.90827,,75723.2,22.478825,22.22776048,21.33652042,21.48469764,3.13932807,-10.99292061,0.01682036
SGH.AX,AX,Wholesale Trade,2013,0.83785624,10.88944867,22.18751853,2.03664,3.45751,41.36184,22.20367,FALSE,17.06688572,5.4594689,19.20715493,28.18965517,22.20367,,69698.7,22.455689,22.29041505,20.95077584,21.6771629,2.95363946,-11.13847811,0.01454188
SGH.AX,AX,Wholesale Trade,2014,0.56617962,5.62162874,10.05821593,2.79924,2.38749,38.11054,22.18209,FALSE,19.88859219,1.00401606,23.05308335,38.40108401,22.18209,,71426.4,22.409554,21.86404322,20.90366889,21.71785006,2.96997324,-10.68762039,0.02282577
SGH.AX,AX,Wholesale Trade,2015,0.52430772,-12.06984581,-21.84439106,2.18246,1.98503,58.20816,30.43608,FALSE,19.94664678,6.79032258,21.61807699,33.5428051,30.43608,,47237.4,22.404634,21.76142016,21.21509211,21.5859026,2.36909197,-10.99847893,0.01672713
SGH.AX,AX,Wholesale Trade,2016,0.42489583,3.56322054,6.9249764,1.96507,2.07964,64.27618,32.53297,FALSE,29.10825854,8.86144049,24.85890077,58.97582038,32.53297,57233,57233,22.396786,21.54480623,21.27386971,21.53827661,2.11879296,-10.5899203,0.02516843
SGH.AX,AX,Wholesale Trade,2017,0.4554584,0.85178373,1.6902838,2.78095,2.10278,61.05063,30.61621,FALSE,36.01032535,25.03789264,29.03867482,58.31785309,30.61621,50067,50067,22.299354,21.56280511,21.11571325,21.4093884,3.35501565,-10.74168772,0.02162441
SGH.AX,AX,Wholesale Trade,2018,0.59134708,8.56159066,17.8195989,1.92828,3.42871,75.50171,35.01939,FALSE,33.24824466,24.46504267,25.86793384,53.46449457,35.01939,67361.88707,67418,22.533667,21.89800549,21.48439872,21.59740035,3.14637676,-10.77933816,0.02082538
SGH.AX,AX,Wholesale Trade,2019,0.63071579,4.74938904,10.83336255,2.0339,3.21473,102.28279,42.53765,FALSE,35.461961,26.71877794,26.89754743,57.18267847,42.53765,47990,47990,22.654686,22.13510611,21.79990514,21.77303796,3.11735843,-11.35635817,0.0116949
SGH.AX,AX,Wholesale Trade,2020,0.63707503,3.22767213,8.07489148,1.96292,3.9064,116.76666,44.92592,FALSE,39.0855201,28.15697711,28.15630441,66.52918782,44.92592,45846,45988,22.731695,22.24306347,21.93153938,21.77156681,2.71147632,-11.50692769,0.01006016
SGH.AX,AX,Wholesale Trade,2021,0.59774541,9.41204055,22.00328881,1.04467,3.87019,80.36944,37.32025,FALSE,48.80367013,34.65251994,54.49631382,58.32136198,37.32025,44254,44080,22.892925,22.30096537,21.907291,22.12171108,2.40454259,-11.60720393,0.00910029
SGH.AX,AX,Wholesale Trade,2022,0.71712449,5.11707616,13.69695663,1.41067,2.82259,154.70038,48.75086,FALSE,43.65901702,35.66383135,45.51474501,50.82017424,48.75086,43190,44428,23.33285,22.80438098,22.61440296,21.99007259,1.73995743,-12.1027558,0.00554421
SGH.AX,AX,Wholesale Trade,2023,0.70722506,6.36366642,19.46735588,1.68133,3.62286,127.3525,43.12357,FALSE,46.33747986,32.74741601,45.32509822,63.94697324,43.12357,40225,41369,23.335532,22.98778555,22.49443137,22.08687993,2.42018999,-12.35749846,0.00429741
SGH.AX,AX,Wholesale Trade,2024,0.77972388,5.62385254,17.53767233,1.34706,3.7975,145.13708,43.93234,FALSE,38.36941846,24.54758084,34.86446249,59.4943446,43.93234,,1579710,23.333637,23.08576942,22.51111768,22.13168855,2.79118038,-8.81301758,0.14878361
DDR.AX,AX,Wholesale Trade,2019,2.46688327,16.202849,83.67273785,1.08951,12.23926,142.64256,26.71829,FALSE,10.54998676,0,14.46179105,12.3655914,26.71829,18367.04783,16322.1,20.045086,21.28931574,18.72526418,18.37009246,4.51355908,-11.58904044,0.0092671
